city,agency,stop_id,stop_name,trip_count,route_count
Bengaluru (Bangalore),BMTC,21629,12th Block Nagarabhavi,420,37
Bengaluru (Bangalore),BMTC,21630,12th Block Nagarabhavi,540,48
Bengaluru (Bangalore),BMTC,20568,14th Main HSR Layout,1095,69
Bengaluru (Bangalore),BMTC,22890,18th Main Jayanagara,113,7
Bengaluru (Bangalore),BMTC,22891,19th Main 13th Cross HSR Layout,21,7
Bengaluru (Bangalore),BMTC,24300,19th Main 13th Cross HSR Layout,24,7
Bengaluru (Bangalore),BMTC,29393,1st Main Kodichikkanahalli,34,3
Bengaluru (Bangalore),BMTC,35599,1st Main Kodichikkanahalli,33,3
Bengaluru (Bangalore),BMTC,22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli),452,32
Bengaluru (Bangalore),BMTC,22897,1st Stage 3rd Block Nagarabhavi (Summanahalli),461,34
Bengaluru (Bangalore),BMTC,35595,2nd Stage 9th Block Nagarabhavi,2,1
Bengaluru (Bangalore),BMTC,21446,3rd Block Jayanagara,792,87
Bengaluru (Bangalore),BMTC,21447,3rd Block Jayanagara,548,73
Bengaluru (Bangalore),BMTC,29407,4th Phase Yelahanka New Town Iyengar Bakery,1,1
Bengaluru (Bangalore),BMTC,29409,5th Block HBR Layout,8,5
Bengaluru (Bangalore),BMTC,20593,8th Mile Dasarahalli,838,116
Bengaluru (Bangalore),BMTC,20594,8th Mile Dasarahalli,1339,244
Bengaluru (Bangalore),BMTC,35570,8th Mile Dasarahalli,550,115
Bengaluru (Bangalore),BMTC,35571,8th Mile Dasarahalli,374,17
Bengaluru (Bangalore),BMTC,35572,8th Mile Dasarahalli,363,20
Bengaluru (Bangalore),BMTC,38567,8th Mile Dasarahalli,30,3
Bengaluru (Bangalore),BMTC,39687,8th Mile Dasarahalli Arrival,12,1
Bengaluru (Bangalore),BMTC,29453,A G Export Garments Nelamangala,87,24
Bengaluru (Bangalore),BMTC,35538,A G Export Garments Nelamangala,75,30
Bengaluru (Bangalore),BMTC,21652,A P J Abdul Kalam Statue,44,7
Bengaluru (Bangalore),BMTC,21653,A P J Abdul Kalam Statue,55,6
Bengaluru (Bangalore),BMTC,38855,ADMC Quarters Office,4,2
Bengaluru (Bangalore),BMTC,29450,AECS Dental College,22,6
Bengaluru (Bangalore),BMTC,35541,AECS Dental College,25,6
Bengaluru (Bangalore),BMTC,20595,AECS Layout Cross,607,25
Bengaluru (Bangalore),BMTC,20596,AECS Layout Cross,593,27
Bengaluru (Bangalore),BMTC,29451,AECS Layout Singasandra,15,4
Bengaluru (Bangalore),BMTC,35540,AECS Layout Singasandra,15,3
Bengaluru (Bangalore),BMTC,39893,AET Junction,10,2
Bengaluru (Bangalore),BMTC,39894,AET Junction,12,2
Bengaluru (Bangalore),BMTC,29461,AGS Layout,22,6
Bengaluru (Bangalore),BMTC,35533,AGS Layout,22,5
Bengaluru (Bangalore),BMTC,29462,AGS Layout Arehalli,137,7
Bengaluru (Bangalore),BMTC,35532,AGS Layout Arehalli,136,7
Bengaluru (Bangalore),BMTC,23014,AGS Layout Cross,146,12
Bengaluru (Bangalore),BMTC,24342,AGS Layout Cross,16,6
Bengaluru (Bangalore),BMTC,29463,AIR FORCE Quarters,14,4
Bengaluru (Bangalore),BMTC,35531,AIR FORCE Quarters,6,3
Bengaluru (Bangalore),BMTC,29474,AL Ameen Residential School,13,5
Bengaluru (Bangalore),BMTC,35521,AL Ameen Residential School,10,5
Bengaluru (Bangalore),BMTC,37331,AL-Agro Factory,1,1
Bengaluru (Bangalore),BMTC,37332,AL-Agro Factory,1,1
Bengaluru (Bangalore),BMTC,23060,AMC College,523,81
Bengaluru (Bangalore),BMTC,24134,AMC College,515,80
Bengaluru (Bangalore),BMTC,29549,APCO Factory,8,3
Bengaluru (Bangalore),BMTC,35454,APCO Factory,8,3
Bengaluru (Bangalore),BMTC,29550,APMC Yard,56,15
Bengaluru (Bangalore),BMTC,35453,APMC Yard,53,21
Bengaluru (Bangalore),BMTC,23134,APS College,179,38
Bengaluru (Bangalore),BMTC,23632,APS College,199,46
Bengaluru (Bangalore),BMTC,39681,APS College Cross,4,1
Bengaluru (Bangalore),BMTC,39682,APS College Cross,3,1
Bengaluru (Bangalore),BMTC,38962,ARMY PUBLIC SCHOOL (Parachute Regiment),4,3
Bengaluru (Bangalore),BMTC,23190,ASC Centre,141,17
Bengaluru (Bangalore),BMTC,23930,ASC Centre,139,12
Bengaluru (Bangalore),BMTC,29426,Aane Kempegowdana Doddy,10,5
Bengaluru (Bangalore),BMTC,35856,Aane Kempegowdana Doddy,9,4
Bengaluru (Bangalore),BMTC,23396,Abbaiah Circle Sarjapura,34,11
Bengaluru (Bangalore),BMTC,23418,Abbaiah Circle Sarjapura,39,15
Bengaluru (Bangalore),BMTC,29428,Abbanakuppe,32,4
Bengaluru (Bangalore),BMTC,35564,Abbanakuppe,36,8
Bengaluru (Bangalore),BMTC,29429,Abbanakuppe Colony,1,1
Bengaluru (Bangalore),BMTC,35563,Abbanakuppe Colony,1,1
Bengaluru (Bangalore),BMTC,30920,Abbanakuppe KEB,1,1
Bengaluru (Bangalore),BMTC,33404,Abbanakuppe KEB,1,1
Bengaluru (Bangalore),BMTC,29430,Abbigere,92,17
Bengaluru (Bangalore),BMTC,35562,Abbigere,87,16
Bengaluru (Bangalore),BMTC,29431,Abbigere Cross,71,20
Bengaluru (Bangalore),BMTC,35561,Abbigere Cross,116,21
Bengaluru (Bangalore),BMTC,29432,Abbigere Dinne,119,13
Bengaluru (Bangalore),BMTC,35560,Abbigere Dinne,107,14
Bengaluru (Bangalore),BMTC,29433,Abbigere Gate,83,9
Bengaluru (Bangalore),BMTC,35559,Abbigere Gate,113,11
Bengaluru (Bangalore),BMTC,22965,Acharya College,273,15
Bengaluru (Bangalore),BMTC,22966,Acharya College,292,13
Bengaluru (Bangalore),BMTC,29434,Acharya Institute of Technology,46,7
Bengaluru (Bangalore),BMTC,35558,Acharya Institute of Technology,70,7
Bengaluru (Bangalore),BMTC,40369,Acharya Institute of Technology,26,1
Bengaluru (Bangalore),BMTC,29435,Achyuthanagara Gate,53,5
Bengaluru (Bangalore),BMTC,35557,Achyuthanagara Gate,60,3
Bengaluru (Bangalore),BMTC,29437,Adakamaranahalli (Magadi Road),3,2
Bengaluru (Bangalore),BMTC,39571,Adakamaranahalli (Magadi Road),4,2
Bengaluru (Bangalore),BMTC,29438,Adakamaranahalli Cross (Magadi Road),86,15
Bengaluru (Bangalore),BMTC,35554,Adakamaranahalli Cross (Magadi Road),95,15
Bengaluru (Bangalore),BMTC,21639,Adakimaranahalli,495,93
Bengaluru (Bangalore),BMTC,22974,Adakimaranahalli,1,1
Bengaluru (Bangalore),BMTC,29439,Adakimaranahalli,534,98
Bengaluru (Bangalore),BMTC,29441,Adakimaranahalli,1,1
Bengaluru (Bangalore),BMTC,29442,Adarshanagara,75,17
Bengaluru (Bangalore),BMTC,35552,Adarshanagara,80,21
Bengaluru (Bangalore),BMTC,29444,Adde Vishwanathapura,5,3
Bengaluru (Bangalore),BMTC,35550,Adde Vishwanathapura,1,1
Bengaluru (Bangalore),BMTC,29445,Addiganahalli,59,22
Bengaluru (Bangalore),BMTC,35549,Addiganahalli,62,32
Bengaluru (Bangalore),BMTC,22981,Addiganahalli Extension,10,4
Bengaluru (Bangalore),BMTC,31347,Addiganahalli Extension,10,6
Bengaluru (Bangalore),BMTC,22982,Adigara Kallahalli,3,1
Bengaluru (Bangalore),BMTC,23391,Adigara Kallahalli,3,2
Bengaluru (Bangalore),BMTC,29446,Adigondanahalli,7,4
Bengaluru (Bangalore),BMTC,35548,Adigondanahalli,8,4
Bengaluru (Bangalore),BMTC,25578,Adigondanahalli Junction,4,2
Bengaluru (Bangalore),BMTC,32772,Adigondanahalli Junction,4,2
Bengaluru (Bangalore),BMTC,39104,Aditya Bakery,83,3
Bengaluru (Bangalore),BMTC,39105,Aditya Bakery,16,2
Bengaluru (Bangalore),BMTC,38161,Adrsha Savana,1,1
Bengaluru (Bangalore),BMTC,38162,Adrsha Savana,1,1
Bengaluru (Bangalore),BMTC,29448,Adugodi,285,22
Bengaluru (Bangalore),BMTC,35544,Adugodi,124,8
Bengaluru (Bangalore),BMTC,35546,Adugodi,157,13
Bengaluru (Bangalore),BMTC,22990,Adugodi Police Station,281,21
Bengaluru (Bangalore),BMTC,23802,Adugodi Police Station,285,22
Bengaluru (Bangalore),BMTC,39938,Adukale Food Factory,117,23
Bengaluru (Bangalore),BMTC,39939,Adukale Food Factory,112,18
Bengaluru (Bangalore),BMTC,22992,Aduru,66,11
Bengaluru (Bangalore),BMTC,22995,Aduru,60,11
Bengaluru (Bangalore),BMTC,22993,Aduru,11,5
Bengaluru (Bangalore),BMTC,22994,Aduru,12,5
Bengaluru (Bangalore),BMTC,36662,Aduru,1,1
Bengaluru (Bangalore),BMTC,29452,Aerospace Bagalur,13,7
Bengaluru (Bangalore),BMTC,35539,Aerospace Bagalur,14,7
Bengaluru (Bangalore),BMTC,29454,Agalakote,41,7
Bengaluru (Bangalore),BMTC,35537,Agalakote,40,7
Bengaluru (Bangalore),BMTC,23003,Agara,25,5
Bengaluru (Bangalore),BMTC,23004,Agara,23,5
Bengaluru (Bangalore),BMTC,40536,Agara,2,1
Bengaluru (Bangalore),BMTC,40537,Agara,2,1
Bengaluru (Bangalore),BMTC,23002,Agara,24,6
Bengaluru (Bangalore),BMTC,31348,Agara,8,3
Bengaluru (Bangalore),BMTC,21640,Agara Cross,309,79
Bengaluru (Bangalore),BMTC,21641,Agara Cross,326,87
Bengaluru (Bangalore),BMTC,20597,Agara Junction,1280,70
Bengaluru (Bangalore),BMTC,20598,Agara Junction,1212,73
