city,agency,route_id,route_short_name,direction_id,stop_sequence,stop_name
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,1,Kempegowda Bus Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,2,Maharani College
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,3,KR Circle
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,4,St Marthas Hospital
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,5,Corporation
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,6,Subbaiah Circle
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,7,KH Road
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,8,Shanthinagara Bus Station - Platform 8
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,9,Wilson Garden Police Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,10,Wilson Garden 12th Cross
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,11,Lakkasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,12,Nimhans Hospital
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,13,Bengaluru Dairy Circle
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,14,Muneshwara Devasthana
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,15,Hosur Road Junction
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,16,St Johns Hospital
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,17,Koramangala Water Tank
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,18,Kudure Mukha Colony
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,19,Krupanidhi College
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,20,Madivala
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,21,Roopena Agrahara
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,22,Bommanahalli
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,23,Hongasandra Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,24,Garvebhavipalya
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,25,Kudlu Gate
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,26,Singasandra Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,27,Singasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,28,Hosa Road Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,29,Beratena Agrahara Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,30,PESCE College Electronic City
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,31,Konappana Agarhara (Electronic City Metro Station)
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,32,Electronic City
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,33,Veerasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,34,Huskur Gate
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,35,SFS High School Hebbagodi
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,36,Hebbagodi
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,37,Bommasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,38,BTL College
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,39,Hennagara Gate
Bengaluru (Bangalore),BMTC,1000,KBS-3C,0,40,Chandapura
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,1,Chandapura
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,2,Hennagara Gate
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,3,BTL College
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,4,Bommasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,5,Hebbagodi
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,6,Biocon Hebbagodi Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,7,SFS High School Hebbagodi
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,8,Huskur Gate
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,9,Veerasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,10,Electronic City
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,11,Konappana Agarhara (Electronic City Metro Station)
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,12,PESCE College Electronic City
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,13,Beratena Agrahara Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,14,Hosa Road Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,15,Singasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,16,Singasandra Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,17,Kudlu Gate
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,18,Garvebhavipalya
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,19,Hongasandra Metro Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,20,Bommanahalli
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,21,Roopena Agrahara
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,22,Madivala
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,23,Ayyappaswamy Temple Madivala
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,24,St Johns Hospital
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,25,Hosur Road junction
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,26,Muneshwara Devasthana
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,27,Bengaluru Dairy Circle
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,28,Nimhans Hospital
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,29,Lakkasandra
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,30,Wilson Garden 10th Cross
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,31,Wilson Garden Police Station
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,32,Shanthinagara Bus Station - Platform 2
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,33,KH Road
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,34,Pallavi Talkies
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,35,Corporation
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,36,Mysore Bank
Bengaluru (Bangalore),BMTC,1000,KBS-3C,1,37,Kempegowda Bus Station
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,1,1,Shanthinagara Bus Station - Platform 2
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,1,2,Depot-02 Shanthinagara
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,0,1,Depot-02 Shanthinagara
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,0,2,Shanthinagara Bus Station - Platform 2
Bengaluru (Bangalore),BMTC,1002,333-C,0,1,Kempegowda Bus Station
Bengaluru (Bangalore),BMTC,1002,333-C,0,2,Maharani College
Bengaluru (Bangalore),BMTC,1002,333-C,0,3,KR Circle
Bengaluru (Bangalore),BMTC,1002,333-C,0,4,St Marthas Hospital
Bengaluru (Bangalore),BMTC,1002,333-C,0,5,Corporation
Bengaluru (Bangalore),BMTC,1002,333-C,0,6,St Josephs Indian School/ Malya Hospital
Bengaluru (Bangalore),BMTC,1002,333-C,0,7,Richmond Circle
Bengaluru (Bangalore),BMTC,1002,333-C,0,8,St Joseph College
Bengaluru (Bangalore),BMTC,1002,333-C,0,9,Mayohall
Bengaluru (Bangalore),BMTC,1002,333-C,0,10,Hosmat Hospital
Bengaluru (Bangalore),BMTC,1002,333-C,0,11,Military Accounts Office
Bengaluru (Bangalore),BMTC,1002,333-C,0,12,Commando Hospital
Bengaluru (Bangalore),BMTC,1002,333-C,0,13,Dr BR Ambedkar Bus Terminal (Domlur) - Platform 1
Bengaluru (Bangalore),BMTC,1002,333-C,0,14,Domlur Flyover
Bengaluru (Bangalore),BMTC,1002,333-C,0,15,Kodihalli
Bengaluru (Bangalore),BMTC,1002,333-C,0,16,NAL/Manipal Hospital
Bengaluru (Bangalore),BMTC,1002,333-C,0,17,Murugeshpalya
Bengaluru (Bangalore),BMTC,1002,333-C,0,18,Konena Agrahara
Bengaluru (Bangalore),BMTC,1002,333-C,0,19,HAL Main Gate
Bengaluru (Bangalore),BMTC,1002,333-C,0,20,Helicopter Division
Bengaluru (Bangalore),BMTC,1002,333-C,0,21,Ramesh Nagara Cross
Bengaluru (Bangalore),BMTC,1002,333-C,0,22,Rameshnagara
Bengaluru (Bangalore),BMTC,1002,333-C,0,23,Basavanagara
Bengaluru (Bangalore),BMTC,1002,333-C,1,1,Basavanagara
Bengaluru (Bangalore),BMTC,1002,333-C,1,2,Rameshnagara
Bengaluru (Bangalore),BMTC,1002,333-C,1,3,Ramesh Nagara Cross
Bengaluru (Bangalore),BMTC,1002,333-C,1,4,Helicopter Division
