city,agency,route_id,route_short_name,route_full_name,origin_stop,destination_stop,direction_id,trip_count,stop_count,first_departure,last_departure
Bengaluru (Bangalore),BMTC,1000,KBS-3C,Kempegowda Bus Station → Chandapura,Kempegowda Bus Station,Chandapura,0,49,40,04:55:00,22:15:00
Bengaluru (Bangalore),BMTC,1000,KBS-3C,Chandapura → Kempegowda Bus Station,Chandapura,Kempegowda Bus Station,1,38,37,06:30:00,23:45:00
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,Shanthinagara Bus Station - Platform 2 → Depot-02 Shanthinagara,Shanthinagara Bus Station - Platform 2,Depot-02 Shanthinagara,1,96,2,05:25:00,22:58:00
Bengaluru (Bangalore),BMTC,1001,D2-SNBS,Depot-02 Shanthinagara → Shanthinagara Bus Station - Platform 2,Depot-02 Shanthinagara,Shanthinagara Bus Station - Platform 2,0,76,2,05:50:00,19:00:00
Bengaluru (Bangalore),BMTC,1002,333-C,Kempegowda Bus Station → Basavanagara,Kempegowda Bus Station,Basavanagara,0,2,23,06:55:00,18:35:00
Bengaluru (Bangalore),BMTC,1002,333-C,Basavanagara → Kempegowda Bus Station,Basavanagara,Kempegowda Bus Station,1,4,20,06:00:00,14:25:00
Bengaluru (Bangalore),BMTC,1004,361-C,KR Market (Kalasipalya) - Platform 3B → Anekal,KR Market (Kalasipalya) - Platform 3B,Anekal,0,25,52,05:35:00,20:55:00
Bengaluru (Bangalore),BMTC,1004,361-C,Anekal → KR Market (Kalasipalya) - Platform 3B,Anekal,KR Market (Kalasipalya) - Platform 3B,1,23,50,05:40:00,18:10:00
Bengaluru (Bangalore),BMTC,1005,37,Srinagara Bus Station → Shivajinagara Bus Station - Platform 10,Srinagara Bus Station,Shivajinagara Bus Station - Platform 10,1,24,18,06:30:00,20:20:00
Bengaluru (Bangalore),BMTC,1005,37,Shivajinagara Bus Station - Platform 10 → Srinagara Bus Station,Shivajinagara Bus Station - Platform 10,Srinagara Bus Station,0,20,17,07:15:00,19:05:00
Bengaluru (Bangalore),BMTC,1006,KMT-SNBS,Shanthinagara Bus Station - Platform 2 → KR Market (Kalasipalya),Shanthinagara Bus Station - Platform 2,KR Market (Kalasipalya),1,8,6,06:30:00,14:15:00
Bengaluru (Bangalore),BMTC,1006,KMT-SNBS,KR Market (Kalasipalya) → Shanthinagara Bus Station - Platform 2,KR Market (Kalasipalya),Shanthinagara Bus Station - Platform 2,0,8,4,10:40:00,18:55:00
Bengaluru (Bangalore),BMTC,1007,G-3,Electronic City Wipro Main Gate → Brigade Road,Electronic City Wipro Main Gate,Brigade Road,1,72,33,05:00:00,20:05:00
Bengaluru (Bangalore),BMTC,1007,G-3,Brigade Road → Electronic City Wipro Main Gate,Brigade Road,Electronic City Wipro Main Gate,0,85,31,06:10:00,22:00:00
Bengaluru (Bangalore),BMTC,1008,171-G,Koramangala 1st Block → Kempegowda Bus Station,Koramangala 1st Block,Kempegowda Bus Station,1,81,21,04:35:00,21:40:00
Bengaluru (Bangalore),BMTC,1008,171-G,Kempegowda Bus Station → Koramangala 1st Block,Kempegowda Bus Station,Koramangala 1st Block,0,75,27,04:50:00,21:50:00
Bengaluru (Bangalore),BMTC,1009,G-4,Brigade Road → Bannerughatta National Park,Brigade Road,Bannerughatta National Park,0,47,38,05:45:00,22:30:00
Bengaluru (Bangalore),BMTC,1009,G-4,Bannerughatta National Park → Brigade Road,Bannerughatta National Park,Brigade Road,1,46,36,04:40:00,21:00:00
Bengaluru (Bangalore),BMTC,1011,343,KR Market (Kalasipalya) - Platform 3A → Beguru,KR Market (Kalasipalya) - Platform 3A,Beguru,0,55,27,05:10:00,22:05:00
Bengaluru (Bangalore),BMTC,1011,343,Beguru → KR Market (Kalasipalya) - Platform 3A,Beguru,KR Market (Kalasipalya) - Platform 3A,1,49,25,04:50:00,21:25:00
